KAUFDATUM;PRODUKT;GRÖßE;EINZELPREIS;STORE;MARKTWERT;VERKAUFSDATUM;VERKAUFSPREIS;VERKAUFSERLÖS;PROFIT;ZAHLUNG;VERKAUFSPLATTFORM;SALDO;MAX EINNAHMEN Netto;MAX EINNAHMEN Brutto;LAGERWERT;SCHUHE RÜCKZAHLEN
29. Oktober 2020;Air Jordan 5 Retro Off-White Sail (PS) (2020);31,5;-89,99 €;NIKE;;8. Dez. 2020;123,00 €;108,24 €;18,25 €;HyperWallet;StockX;;;;;
5. November 2020;Nike x Sacai Vaporwaffle Black (2020);45;-179,99 €;NIKE;;22. Nov. 2020;428,00 €;364,00 €;184,01 €;PAYPAL;KLEKT;;;;;
7. November 2020;Air Jordan 5 Retro What The (GS) (2020);39;-149,99 €;NIKE;;15. Jan. 2021;149,99 €;149,99 €;0,00 €;PAYPAL;RETOURE;;;;;
7. November 2020;Air Jordan 5 'What The' (2020);45;-189,99 €;NIKE;;22. Nov. 2020;211,00 €;191,00 €;1,01 €;PAYPAL;KLEKT;;;;;
4. November 2020;Nike WMNS Dunk High Varsity Purple (2020);39;-110,00 €;SNS;;17. März 2021;250,00 €;220,00 €;110,00 €;HyperWallet;StockX;;;;;
28. November 2020;Donut Boost Creeps Hoodie;L;-37,64 €;Donut;;;WEARING;;;;;;;;;
21. Dezember 2020;"Air Force 1 '07 PRM ""1-800 Toll Free""";45;98,80 €;Solebox;110,00 €;;;;-98,80 €;;;;;;;
21. Dezember 2020;Carhartt WIP - Hooded Ghostly Sweat;XL;-83,60 €;Solebox;;;WEARING;;;;;;;;;
20. Januar 2021;Air Force 1 Camouflage ??;45;120,00 €;NIKE;;;;;-120,00 €;;;;;;;
22. Februar 2021;Nike Overbreak SP Mars Yard;45;-139,99 €;NIKE;;26. Feb. 2021;163,00 €;143,44 €;3,45 €;HyperWallet;StockX;;;;;
28. Mai 2021;Jordan 6 Retro PSG Paris Saint-Germain;45;87,49 €;NIkeStore;;;;;-87,49 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
;;;;;;;;;0,00 €;;;;;;;
